duration,title,album,image_150,shortUrl,label,contentLang,year,saavn_id,singers,music,provider,keywords
371,Bekhayali,Kabir Singh,https://c.saavncdn.com/807/Kabir-Singh-Hindi-2019-20190614075009-150x150.jpg,https://www.jiosaavn.com/song/bekhayali/PxwgWUFzBwU,T-Series,hi,2019,PxwgWUFzBwU,{'Sachet Tandon'},{'Sachet-Parampara'},saavn,"{'T-Series', 'Bekhayali', 'Sachet Tandon', 'Sachet-Parampara', 'Kabir Singh'}"
247,Slow Motion,Bharat,https://c.saavncdn.com/784/Bharat-Hindi-2019-20190517100839-150x150.jpg,https://www.jiosaavn.com/song/slow-motion/JEUYUEZKUXs,T-Series,hi,2019,JEUYUEZKUXs,"{'Nakash Aziz', 'Shreya Ghoshal'}",{'Vishal-Shekhar'},saavn,"{'Shreya Ghoshal', 'Nakash Aziz', 'Bharat', 'T-Series', 'Slow Motion', 'Vishal-Shekhar'}"
213,The Hook Up Song,Student of the Year 2,https://c.saavncdn.com/865/Student-of-the-Year-2-Hindi-2019-20190426114149-150x150.jpg,https://www.jiosaavn.com/song/the-hook-up-song/HS4MVzcGfWw,Zee Music Co.,hi,2019,HS4MVzcGfWw,"{'Neha Kakkar', 'Shekhar Ravjiani', 'Vishal-Shekhar'}",{'Vishal-Shekhar'},saavn,"{'Neha Kakkar', 'Shekhar Ravjiani', 'The Hook Up Song', 'Student of the Year 2', 'Zee Music Co.', 'Vishal-Shekhar'}"
284,Tujhe Kitna Chahne Lage,Kabir Singh,https://c.saavncdn.com/807/Kabir-Singh-Hindi-2019-20190614075009-150x150.jpg,https://www.jiosaavn.com/song/tujhe-kitna-chahne-lage/Ow1SZSRjYlU,T-Series,hi,2019,Ow1SZSRjYlU,{'Arijit Singh'},{'Mithoon'},saavn,"{'Arijit Singh', 'Kabir Singh', 'T-Series', 'Tujhe Kitna Chahne Lage', 'Mithoon'}"
223,Ve Maahi,Kesari,https://c.saavncdn.com/693/Kesari-Hindi-2019-20190415215737-150x150.jpg,https://www.jiosaavn.com/song/ve-maahi/Ix4hQT1CYwo,Zee Music Co.,hi,2019,Ix4hQT1CYwo,"{'Arijit Singh', 'Asees Kaur'}",{'Tanishk Bagchi'},saavn,"{'Arijit Singh', 'Ve Maahi', 'Kesari', 'Tanishk Bagchi', 'Asees Kaur', 'Zee Music Co.'}"
276,First Class,Kalank,https://c.saavncdn.com/784/Kalank-Hindi-2019-20190414135616-150x150.jpg,https://www.jiosaavn.com/song/first-class/CCAfHDdHfkU,Zee Music Co.,hi,2019,CCAfHDdHfkU,"{'Neeti Mohan', 'Arijit Singh'}",{'Pritam Chakraborty'},saavn,"{'Neeti Mohan', 'Pritam Chakraborty', 'Kalank', 'Arijit Singh', 'First Class', 'Zee Music Co.'}"
271,Chale Aana,De De Pyaar De,https://c.saavncdn.com/777/De-De-Pyaar-De-Hindi-2019-20190515024538-150x150.jpg,https://www.jiosaavn.com/song/chale-aana/Ox0uQEZxBXY,T-Series,hi,2019,Ox0uQEZxBXY,{'Armaan Malik'},{'Amaal Mallik'},saavn,"{'De De Pyaar De', 'Amaal Mallik', 'Chale Aana', 'T-Series', 'Armaan Malik'}"
253,The Jawaani Song,Student of the Year 2,https://c.saavncdn.com/865/Student-of-the-Year-2-Hindi-2019-20190426114149-150x150.jpg,https://www.jiosaavn.com/song/the-jawaani-song/Qh1cfEVRAVo,Zee Music Co.,hi,2019,Qh1cfEVRAVo,"{'Payal Dev', 'Vishal Dadlani', 'Kishore Kumar', 'Vishal-Shekhar'}",{'Vishal-Shekhar'},saavn,"{'The Jawaani Song', 'Student of the Year 2', 'Zee Music Co.', 'Payal Dev', 'Vishal Dadlani', 'Kishore Kumar', 'Vishal-Shekhar'}"
265,Chashni,Bharat,https://c.saavncdn.com/784/Bharat-Hindi-2019-20190517100839-150x150.jpg,https://www.jiosaavn.com/song/chashni/J1BYeCVgAAM,T-Series,hi,2019,J1BYeCVgAAM,{'Abhijeet Srivastava'},{'Vishal-Shekhar'},saavn,"{'Abhijeet Srivastava', 'Bharat', 'T-Series', 'Chashni', 'Vishal-Shekhar'}"
196,Vaaste,Vaaste,https://c.saavncdn.com/426/Vaaste-Hindi-2019-20190406024538-150x150.jpg,https://www.jiosaavn.com/song/vaaste/Nyc0QDpvf1c,T-Series,hi,2019,Nyc0QDpvf1c,"{'Dhvani Bhanushali', 'Tanishk Bagchi', ""Nikhil D'souza""}",{''},saavn,"{'', 'T-Series', ""Nikhil D'souza"", 'Dhvani Bhanushali', 'Tanishk Bagchi', 'Vaaste'}"
